road_user_type,sex,age_group,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,All ages,"1,802","1,755","1,751","1,667","1,630","1,682","1,231","1,483","1,686","1,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,Under 16,269,273,266,229,232,266,174,210,226,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,16,64,55,56,46,48,38,34,38,36,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,17 to 20,304,301,290,312,286,292,250,281,309,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,21 to 24,206,185,183,184,175,179,149,171,180,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,25 to 29,163,173,186,155,181,158,117,144,163,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,30 to 39,207,213,217,243,207,233,167,187,203,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,40 to 49,196,193,181,180,171,146,79,136,150,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,50 to 59,206,194,207,197,204,193,149,171,180,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,60 to 69,226,213,219,191,199,202,123,146,242,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,70 to 79,232,227,241,247,261,251,125,174,251,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,80 and over,200,184,211,184,198,209,110,126,174,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,All ages,"2,301","2,240","2,288","2,192","2,192","2,193","1,496","1,814","2,137","2,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,Under 16,541,521,529,489,473,535,340,415,469,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,16,104,99,98,75,92,74,64,72,83,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,17 to 20,725,703,614,667,622,650,541,607,724,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,21 to 24,459,455,471,439,399,384,305,393,400,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,25 to 29,359,353,390,371,382,348,269,327,334,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,30 to 39,409,418,418,432,413,441,350,398,397,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,40 to 49,318,303,299,284,269,268,156,218,245,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,50 to 59,305,275,312,279,290,280,208,243,285,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,60 to 69,298,281,290,245,266,265,171,194,321,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,70 to 79,281,284,299,302,318,307,154,211,301,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,80 and over,250,240,269,233,248,269,136,161,230,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,All,All ages,"4,103","3,996","4,039","3,859","3,822","3,879","2,728","3,300","3,828","3,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,Under 16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,17 to 20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,21 to 24,0,2,1,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,25 to 29,3,2,2,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,30 to 39,6,6,6,4,4,4,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,40 to 49,8,8,5,5,5,4,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,50 to 59,10,7,6,7,6,9,7,4,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,60 to 69,6,7,5,4,9,4,1,0,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,70 to 79,0,0,0,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,80 and over,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Male,All ages,33,32,26,22,28,23,13,9,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,Under 16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,17 to 20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,21 to 24,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,25 to 29,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,30 to 39,0,1,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,40 to 49,0,1,1,0,2,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,50 to 59,0,2,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,60 to 69,1,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,70 to 79,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,80 and over,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,Female,All ages,2,4,3,1,4,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,Under 16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,17 to 20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,21 to 24,0,2,1,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,25 to 29,3,2,3,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,30 to 39,6,7,6,4,4,4,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,40 to 49,8,8,6,6,7,5,5,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,50 to 59,10,9,8,7,7,10,7,4,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,60 to 69,7,7,5,4,10,4,1,0,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,70 to 79,0,0,0,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,80 and over,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach drivers,All,All ages,34,36,29,23,32,24,15,10,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,Under 16,24,14,19,18,19,8,5,10,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,16,2,2,0,1,1,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,17 to 20,9,4,2,1,3,4,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,21 to 24,2,4,2,2,4,1,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,25 to 29,4,2,4,4,14,0,2,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,30 to 39,13,8,7,4,6,8,6,2,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,40 to 49,9,7,10,12,12,8,5,4,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,50 to 59,13,13,12,11,22,15,4,13,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,60 to 69,16,30,22,13,14,13,5,6,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,70 to 79,19,29,24,21,25,19,7,11,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,80 and over,27,23,23,18,16,16,10,13,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Male,All ages,141,139,131,110,140,97,50,67,101,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,Under 16,19,14,21,18,13,8,10,9,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,16,1,1,0,2,2,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,17 to 20,7,11,7,5,2,9,2,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,21 to 24,9,3,5,5,4,2,2,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,25 to 29,6,11,5,4,9,3,1,3,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,30 to 39,17,17,11,18,12,11,7,6,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,40 to 49,24,24,18,11,22,7,8,13,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,50 to 59,31,24,20,22,32,21,12,17,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,60 to 69,47,53,41,39,23,39,16,15,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,70 to 79,76,55,52,55,51,54,18,16,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,80 and over,63,57,52,43,64,56,16,28,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,Female,All ages,311,280,245,227,243,220,98,120,170,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,Under 16,43,28,40,37,32,15,15,20,31,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,16,2,3,1,2,4,3,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,17 to 20,15,15,9,5,5,13,5,9,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,21 to 24,11,7,7,8,8,3,4,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,25 to 29,9,13,10,8,23,3,3,4,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,30 to 39,30,25,19,22,18,20,13,8,15,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,40 to 49,32,30,28,23,34,15,13,17,18,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,50 to 59,44,38,32,34,54,37,16,30,35,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,60 to 69,63,84,63,52,36,53,21,21,43,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,70 to 79,95,84,76,75,76,73,25,27,54,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,80 and over,91,80,75,61,80,72,27,41,52,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus or coach passengers,All,All ages,452,420,376,337,383,316,148,188,270,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,Under 16,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,17 to 20,9,12,10,10,9,13,9,13,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,21 to 24,28,28,28,34,25,26,21,34,34,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,25 to 29,62,63,53,47,60,51,43,53,46,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,30 to 39,91,101,98,79,115,112,95,126,128,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,40 to 49,99,97,95,79,86,91,66,96,105,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,50 to 59,66,73,72,71,93,85,79,88,72,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,60 to 69,38,36,38,41,32,32,48,37,43,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,70 to 79,8,13,3,11,7,13,7,13,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,80 and over,0,2,2,1,2,1,0,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Male,All ages,406,429,403,374,432,425,372,463,461,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,Under 16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,17 to 20,0,2,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,21 to 24,1,2,0,0,0,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,25 to 29,3,3,3,2,2,3,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,30 to 39,4,3,8,3,5,6,7,4,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,40 to 49,8,5,4,5,4,4,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,50 to 59,11,4,4,4,3,6,5,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,60 to 69,3,1,1,0,3,2,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,70 to 79,1,1,1,1,2,0,1,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,80 and over,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,Female,All ages,31,21,21,16,20,23,24,22,31,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,Under 16,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,17 to 20,10,14,10,10,9,14,10,13,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,21 to 24,30,30,28,35,25,26,23,34,37,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,25 to 29,65,66,56,49,61,53,48,56,49,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,30 to 39,95,104,106,82,120,117,102,131,137,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,40 to 49,106,102,99,84,90,95,69,100,110,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,50 to 59,76,77,76,75,96,91,84,94,78,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,60 to 69,41,37,38,41,36,35,48,37,45,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,70 to 79,9,14,4,12,9,13,8,16,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,80 and over,0,2,2,1,3,2,0,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle drivers,All,All ages,437,450,424,390,452,448,396,486,492,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,Under 16,6,4,5,7,5,5,4,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,16,3,1,0,1,1,1,4,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,17 to 20,10,13,9,11,11,13,6,13,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,21 to 24,20,16,8,11,12,7,5,11,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,25 to 29,21,21,11,16,18,11,13,12,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,30 to 39,20,27,21,22,22,25,13,26,27,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,40 to 49,14,11,8,12,13,11,10,16,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,50 to 59,9,8,12,13,6,12,4,12,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,60 to 69,5,4,1,2,1,4,2,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,70 to 79,3,1,0,1,0,0,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,80 and over,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Male,All ages,115,107,77,96,93,92,66,102,111,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,Under 16,4,2,2,3,1,1,4,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,16,1,1,2,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,17 to 20,3,5,3,2,4,2,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,21 to 24,4,7,8,5,2,3,1,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,25 to 29,4,6,5,2,6,3,2,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,30 to 39,5,6,4,5,8,7,4,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,40 to 49,4,6,6,7,8,5,6,2,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,50 to 59,4,3,4,5,10,6,3,4,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,60 to 69,1,2,1,5,3,3,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,70 to 79,1,0,2,3,2,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,80 and over,2,1,3,0,0,4,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,Female,All ages,35,40,41,40,44,33,27,38,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,Under 16,10,7,8,10,6,6,9,12,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,16,4,3,2,2,1,1,4,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,17 to 20,13,18,12,13,16,15,9,15,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,21 to 24,23,23,16,17,13,11,7,18,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,25 to 29,25,27,16,18,24,13,15,16,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,30 to 39,25,33,25,27,30,31,16,31,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,40 to 49,18,16,14,19,21,16,16,18,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,50 to 59,13,11,15,18,16,18,7,16,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,60 to 69,7,6,2,7,4,7,3,7,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,70 to 79,5,2,2,4,2,0,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,80 and over,3,1,3,0,1,4,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light goods vehicle passengers,All,All ages,150,148,118,136,137,126,93,140,153,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,Under 16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,17 to 20,2,0,3,0,4,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,21 to 24,7,5,3,4,6,4,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,25 to 29,10,16,13,18,10,10,10,10,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,30 to 39,30,38,26,33,25,33,22,36,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,40 to 49,67,67,52,54,35,38,36,22,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,50 to 59,59,63,56,38,42,51,47,41,48,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,60 to 69,30,29,25,29,28,21,17,27,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,70 to 79,2,3,6,3,4,4,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,80 and over,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Male,All ages,207,221,184,179,156,164,134,142,141,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Female,Under 16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Female,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Female,17 to 20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Female,21 to 24,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Female,25 to 29,0,0,0,0,1,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Female,30 to 39,2,1,1,0,0,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Female,40 to 49,1,0,1,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Female,50 to 59,1,0,1,0,3,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy good vehicles drivers,Female,60 to 69,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
